Name,Soundex,Frequency
Boulton,B435,17
Bourne,B650,17
Brewer,B660,17
Chandler,C534,17
Cope,C100,17
Coulson,C425,17
Daniels,D542,17
Drew,D600,17
Garrett,G630,17
Gibbons,G152,17
Haslam,H245,17
Hills,H420,17
Hirst,H623,17
Humphrey,H516,17
Kendall,K534,17
Lock,L200,17
Mathews,M320,17
Meredith,M633,17
Myers,M620,17
Nixon,N250,17
Park,P620,17
Partridge,P636,17
Plant,P453,17
Rice,R200,17
Stafford,S316,17
Storey,S360,17
Tanner,T560,17
Turnbull,T651,17
Wainwright,W562,17
Walmsley,W452,17
Whiteley,W340,17
Woodcock,W322,17
Barnard,B656,16
Batty,B300,16
Beard,B630,16
Bevan,B150,16
Bone,B500,16
Bottomley,B354,16
Bowers,B620,16
Burke,B620,16
Burnett,B653,16
Burns,B652,16
Carpenter,C615,16
Cave,C100,16
Charlton,C643,16
Clarkson,C462,16
Clough,C420,16
Cock,C200,16
Eastwood,E233,16
Ellison,E425,16
Emery,E560,16
Grimshaw,G652,16
Grundy,G653,16
Guy,G000,16
Henderson,H536,16
Hutchings,H325,16
Leach,L200,16
Leigh,L200,16
Meadows,M320,16
Parr,P600,16
Peel,P400,16
Rider,R360,16
Rutter,R360,16
Senior,S560,16
Stubbs,S312,16
Walter,W436,16
Allcock,A422,15
Allison,A425,15
Bayley,B400,15
Beckett,B230,15
Bower,B600,15
Buck,B200,15
Burn,B650,15
Castle,C234,15
Child,C430,15
Church,C620,15
Crabtree,C613,15
Crossley,C624,15
Dent,D530,15
Dutton,D350,15
England,E524,15
Entwistle,E532,15
Farrar,F660,15
Firth,F630,15
Fleming,F455,15
Fryer,F660,15
Gardiner,G635,15
Graves,G612,15
Greaves,G612,15
Hamer,H560,15
Harman,H655,15
Hoare,H600,15
Hogg,H200,15
Hopkinson,H125,15
Hulme,H450,15
Hutton,H350,15
Jacobs,J212,15
Lacey,L200,15
Langley,L524,15
Lawton,L350,15
Lockwood,L230,15
Mather,M360,15
McDonald,M235,15
Metcalf,M324,15
Metcalfe,M324,15
Needham,N350,15
Oldfield,O431,15
Pickard,P263,15
Robertson,R163,15
Ross,R200,15
Sadler,S346,15
Searle,S640,15
Sparkes,S162,15
Stock,S320,15
Stringer,S365,15
Summers,S562,15
Talbot,T413,15
Terry,T600,15
Vincent,V525,15
Welsh,W420,15
Whitworth,W363,15
Woodhouse,W320,15
Barratt,B630,14
Barrow,B600,14
Bowles,B420,14
Bradford,B631,14
Broadbent,B631,14
Bullen,B450,14
Burt,B630,14
Cork,C620,14
Cornish,C652,14
Cotton,C350,14
Cousins,C252,14
Crawley,C640,14
Crompton,C651,14
Crouch,C620,14
Douglas,D242,14
Farrow,F600,14
Fenwick,F520,14
Ferguson,F622,14
Gough,G200,14
Groves,G612,14
Haley,H400,14
Hamilton,H543,14
Hawes,H200,14
Haywood,H300,14
Hickman,H255,14
Hollis,H420,14
Jewell,J400,14
Langford,L521,14
Milner,M456,14
Moon,M500,14
Neale,N400,14
Pickup,P210,14
Procter,P623,14
Proctor,P623,14
Prosser,P626,14
Ricketts,R232,14
Salt,S430,14
Sawyer,S600,14
Stacey,S320,14
Sumner,S560,14
Upton,U135,14
Wharton,W635,14
Worthington,W635,14
Yeomans,Y552,14
Arthur,A636,13
Atherton,A363,13
Bassett,B230,13
Beer,B600,13
Benson,B525,13
Best,B230,13
Black,B420,13
Bland,B453,13
Bowman,B550,13
Cannon,C550,13
Clifford,C416,13
Coe,C000,13
Coombs,C512,13
Craven,C615,13
David,D130,13
Dennis,D520,13
Downes,D520,13
Everett,E163,13
Eyre,E600,13
Farmer,F656,13
Harrington,H652,13
Harrop,H610,13
Heslop,H241,13
Hewett,H300,13
Holliday,H430,13
Hope,H100,13
Hubbard,H163,13
Hurley,H640,13
Ireland,I645,13
Jeans,J520,13
Jenkinson,J525,13
Lake,L200,13
Major,M260,13
Marks,M620,13
Marriott,M630,13
Monk,M520,13
Morrison,M625,13
Oakley,O240,13
Penny,P500,13
Pool,P400,13
Potts,P320,13
Priest,P623,13
Rothwell,R340,13
Salmon,S455,13
Sampson,S512,13
Slack,S420,13
Symons,S552,13
Thorp,T610,13
Waring,W652,13
Whitfield,W314,13
Wiltshire,W432,13
Wise,W200,13
Appleby,A141,12
Bedford,B316,12
Broad,B630,12
Broom,B650,12
Calvert,C416,12
Clay,C400,12
Connell,C540,12
Cowell,C400,12
Craig,C620,12
Crane,C650,12
Dalton,D435,12
Donovan,D515,12
Drury,D660,12
Fawcett,F230,12
Fish,F200,12
Franks,F652,12
Garwood,G630,12
Gosling,G245,12
Hampson,H512,12
Harries,H620,12
Healey,H400,12
Hodgkinson,H325,12
Holdsworth,H432,12
Hopkin,H125,12
Howes,H200,12
Ingram,I526,12
Jefferson,J162,12
Kenyon,K550,12
Kirk,K620,12
Kirkham,K625,12
Leech,L200,12
Leighton,L235,12
Leonard,L563,12
Lomas,L520,12
Molyneux,M452,12
Mosley,M240,12
Pain,P500,12
Pennington,P552,12
Prior,P660,12
Ramsden,R523,12
Rich,R200,12
Salter,S436,12
Scholes,S242,12
Skelton,S243,12
Sparrow,S160,12
Stansfield,S352,12
Stanton,S353,12
Steward,S363,12
Tate,T300,12
Tyler,T460,12
Vernon,V655,12
Wakefield,W214,12
Wolstenholme,W423,12
Adamson,A352,11
Anderton,A536,11
Appleton,A143,11
Ash,A200,11
Baylis,B420,11
Bean,B500,11
Bowker,B260,11
Bowler,B460,11
Bowyer,B600,11
Brierley,B664,11
Bright,B623,11
Brooke,B620,11
Broughton,B623,11
Browning,B655,11
Butt,B300,11
Carey,C600,11
Cheetham,C350,11
Clare,C460,11
Compton,C513,11
Cowley,C400,11
Croft,C613,11
Davidson,D132,11
Dawe,D000,11
Denton,D535,11
Driver,D616,11
Forrest,F623,11
Fraser,F626,11
Garside,G623,11
Gates,G320,11
Golding,G435,11
Hague,H200,11
Hales,H420,11
Hedley,H340,11
Hind,H530,11
Hitchcock,H322,11
Hodge,H320,11
Jenkin,J525,11
Joyce,J200,11
Judd,J300,11
Kelsey,K420,11
Kitchen,K325,11
Liddle,L340,11
Lightfoot,L231,11
Ling,L520,11
Lodge,L320,11
Lunn,L500,11
Maddock,M320,11
Moor,M600,11
Mortimer,M635,11
Munday,M530,11
Nutt,N300,11
OBrien,O165,11
Ormerod,O656,11
Oxley,O240,11
Pilkington,P425,11
Preece,P620,11
Prince,P652,11
Quick,Q200,11
Rawlinson,R452,11
Reader,R360,11
Robins,R152,11
Roe,R000,11
Roper,R160,11
Row,R000,11
Sayers,S620,11
Seddon,S350,11
Spicer,S126,11
Spooner,S156,11
Steele,S340,11
Summerfield,S561,11
Swain,S500,11
Thorne,T650,11
Towers,T620,11
Underhill,U536,11
Unsworth,U526,11
Usher,U260,11
Ware,W600,11
Weeks,W200,11
Westwood,W233,11
Whalley,W400,11
Whitehouse,W320,11
Winter,W536,11
Worrall,W640,11
Wray,W600,11
York,Y620,11
Alcock,A422,10
Anthony,A535,10
Atkin,A325,10
Badcock,B322,10
Ballard,B463,10
Bannister,B523,10
Barron,B650,10
Barry,B600,10
Bate,B300,10
Beale,B400,10
Billington,B452,10
Boyd,B300,10
Brady,B630,10
Braithwaite,B633,10
Brindley,B653,10
Browne,B650,10
Buckland,B245,10
Bunn,B500,10
Byrne,B650,10
Chappell,C140,10
Cliff,C410,10
Cohen,C500,10
Cottrell,C364,10
Crosby,C621,10
Dawes,D200,10
Deacon,D250,10
Downing,D552,10
Downs,D520,10
Drake,D620,10
Duke,D200,10
Earl,E640,10
Featherstone,F362,10
Fellows,F420,10
Finney,F500,10
Flower,F460,10
Floyd,F430,10
Gaskell,G240,10
Gledhill,G434,10
Good,G300,10
Goss,G200,10
Grey,G600,10
Guest,G230,10
Haines,H520,10
Halliday,H430,10
Halliwell,H440,10
Hampton,H513,10
Hand,H530,10
Hawkes,H220,10
Hayman,H550,10
Henry,H560,10
Hepworth,H163,10
Hesketh,H230,10
Hillier,H460,10
Hobson,H125,10
Holgate,H423,10
Hopper,H160,10
Horne,H650,10
Hough,H200,10
Hull,H400,10
Humphries,H516,10
Inman,I550,10
Isaacs,I220,10
Kitson,K325,10
Knights,K523,10
Lancaster,L522,10
Large,L620,10
Love,L100,10
Lovell,L140,10
Lyon,L500,10
Lyons,L520,10
Marlow,M640,10
Melling,M452,10
Michell,M240,10
Morse,M620,10
Orchard,O626,10
Parish,P620,10
Parks,P620,10
Pearse,P620,10
Pemberton,P516,10
Percival,P621,10
Pickles,P242,10
Pinder,P536,10
Piper,P160,10
Plummer,P456,10
Prichard,P626,10
Priestley,P623,10
Radford,R316,10
Rawlings,R452,10
Ray,R000,10
Reid,R300,10
Rimmer,R560,10
Sansom,S525,10
Sharples,S614,10
Shuttleworth,S346,10
Sinclair,S524,10
Slade,S430,10
Smyth,S530,10
Snow,S500,10
Squire,S260,10
Squires,S262,10
Sugden,S235,10
